"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","",""
"SSLv3","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","",""
"TLS1","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"TLS1_1","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"TLS1_2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered","",""
"TLS1_3","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered with final","",""
"ALPN","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"cipherlist_NULL","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered","",""
"cipher_order-tls1_2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","server","",""
"cipherorder_TLSv1_2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","server","",""
