"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.tfe.urssaf.fr/193.178.136.4","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.tfe.urssaf.fr/193.178.136.4","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","",""
"SSLv3","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","",""
"TLS1","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","",""
"TLS1_1","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","",""
"TLS1_2","www.tfe.urssaf.fr/193.178.136.4","443","OK","offered","",""
"TLS1_3","www.tfe.urssaf.fr/193.178.136.4","443","OK","offered with final","",""
"ALPN","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","",""
"cipherlist_NULL","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.tfe.urssaf.fr/193.178.136.4","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.tfe.urssaf.fr/193.178.136.4","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.tfe.urssaf.fr/193.178.136.4","443","OK","offered","",""
"cipher_order-tls1_2","www.tfe.urssaf.fr/193.178.136.4","443","OK","server","",""
"cipherorder_TLSv1_2","www.tfe.urssaf.fr/193.178.136.4","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.tfe.urssaf.fr/193.178.136.4","443","OK","server","",""
"FS","www.tfe.urssaf.fr/193.178.136.4","443","OK","offered","",""
"FS_ciphers","www.tfe.urssaf.fr/193.178.136.4","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.tfe.urssaf.fr/193.178.136.4","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.tfe.urssaf.fr/193.178.136.4","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.tfe.urssaf.fr/193.178.136.4","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.tfe.urssaf.fr/193.178.136.4","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.tfe.urssaf.fr/193.178.136.4","443","INFO","yes","",""
"sessionresumption_ticket","www.tfe.urssaf.fr/193.178.136.4","443","INFO","supported","",""
"sessionresumption_ID","www.tfe.urssaf.fr/193.178.136.4","443","INFO","supported","",""
"TLS_timestamp","www.tfe.urssaf.fr/193.178.136.4","443","INFO","random","",""
"certificate_compression","www.tfe.urssaf.fr/193.178.136.4","443","INFO","none","",""
"clientAuth","www.tfe.urssaf.fr/193.178.136.4","443","INFO","none","",""
"cert_numbers","www.tfe.urssaf.fr/193.178.136.4","443","INFO","1","",""
"cert_signatureAlgorithm","www.tfe.urssaf.fr/193.178.136.4","443","OK","SHA256 with RSA","",""
"cert_keySize","www.tfe.urssaf.fr/193.178.136.4","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.tfe.urssaf.fr/193.178.136.4","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.tfe.urssaf.fr/193.178.136.4","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
