"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","autoentrepreneur.urssaf.fr/193.178.136.237","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","No 128 cipher limit bug","",""
"SSLv2","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","",""
"SSLv3","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","",""
"TLS1","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"TLS1_1","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"TLS1_2","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered","",""
"TLS1_3","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered with final","",""
"ALPN","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"cipherlist_NULL","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_LOW","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","autoentrepreneur.urssaf.fr/193.178.136.237","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not offered","",""
"cipherlist_STRONG_FS","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered","",""
"cipher_order-tls1_2","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","server","",""
"cipherorder_TLSv1_2","autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","server","",""
"FS","autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","offered","",""
